"ilceler","latitude","longitude"
"Adalar",40.8678,29.1331
"Arnavutköy",41.2482594,28.6814495117807
"Ataşehir",40.9847487,29.1067199
"Avcılar",40.9801353,28.7175465
"Bağcılar",41.0447291,28.8337135105443
"Bahçelievler",41.0002895,28.8637451
"Bakırköy",40.9806359,28.8628745
"Başakşehir",41.1027276,28.7724595536567
"Bayrampaşa",41.0512479,28.8984693647258
"Beşiktaş",41.0716178,29.0305381519225
"Beykoz",41.1439,29.0906
"Beylikdüzü",41.0010788,28.642054
"Beyoğlu",41.0434614,28.9624575679829
"Büyükçekmece",41.0128,28.5382
"Çatalca",41.142,28.4638
"Çekmeköy",41.0543213,29.2445387
"Esenler",41.0620017,28.8695377605765
"Esenyurt",41.04892005,28.6581173127615
"Eyüpsultan",41.0460444,28.9253241
"Fatih",41.014462,28.9545506959692
"Gaziosmanpaşa",41.0734206,28.9015561330191
"Güngören",41.0198102,28.8748379095875
"Kadıköy",40.98113355,29.0650755879103
"Kağıthane",41.08303245,28.9838506957925
"Kartal",40.9019,29.1737
"Küçükçekmece",40.996,28.7748
"Maltepe",40.943396,29.159671719134
"Pendik",40.8775,29.2725
"Sancaktepe",40.99943825,29.2252495030497
"Sarıyer",41.1667,29.05
"Silivri",41.0739,28.2464
"Sultanbeyli",40.9658834,29.2723659
"Sultangazi",41.1081703,28.8613138
"Şile",41.1754,29.6133
"Şişli",41.061672,28.9842605962855
"Tuzla",40.89265165,29.3721729469573
"Ümraniye",41.02721865,29.1274593422018
"Üsküdar",41.0352214,29.0573344413904
"Zeytinburnu",41.0056152,28.9081983220057
